IndicatorCode,IndicatorName,SpatialDim,TimeDim,Dim1,NumericValue,Value
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",TZA,2004,SEX_BTSX,112.0,112
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",PRT,2004,SEX_FMLE,271.0,271
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",BLZ,2004,SEX_FMLE,92.0,92
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",URY,2004,SEX_MLE,,1
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",KAZ,2004,SEX_FMLE,294.0,294
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",LBY,2004,SEX_FMLE,214.0,214
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",MLT,2004,SEX_BTSX,161.0,161
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",GTM,2004,SEX_FMLE,234.0,234
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",MAR,2004,SEX_BTSX,87.0,87
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",CIV,2004,SEX_FMLE,438.0,438
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",CIV,2004,SEX_BTSX,208.0,208
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",ALB,2004,SEX_BTSX,193.0,193
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",DEU,2004,SEX_BTSX,161.0,161
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",EST,2004,SEX_FMLE,257.0,257
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",ECU,2004,SEX_BTSX,85.0,85
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",BOL,2004,SEX_FMLE,341.0,341
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",FRA,2004,SEX_FMLE,346.0,346
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",CAN,2004,SEX_BTSX,172.0,172
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",LVA,2004,SEX_FMLE,304.0,304
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",NER,2004,SEX_FMLE,373.0,373
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",SOM,2004,SEX_FMLE,261.0,261
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",AZE,2004,SEX_BTSX,151.0,151
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",BDI,2004,SEX_BTSX,105.0,105
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",UKR,2004,SEX_FMLE,298.0,298
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",IND,2004,SEX_FMLE,162.0,162
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",SEN,2004,SEX_FMLE,221.0,221
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",SLE,2004,SEX_FMLE,493.0,493
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",WSM,2004,SEX_FMLE,300.0,300
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",IRN,2004,SEX_FMLE,167.0,167
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",NPL,2004,SEX_BTSX,140.0,140
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",GBR,2004,SEX_FMLE,351.0,351
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",JPN,2004,SEX_FMLE,178.0,178
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",IDN,2004,SEX_BTSX,168.0,168
